,Temperature (K),Electrical Conductivity (S/cm),Seebeck Coefficient (µV/K),zT,Total Thermal Conductivity (W/mK),HOMO_energy,LUMO_energy,gap_AO,band center,Li,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Au,Hg,Tl,Pb,Bi,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,transition metal fraction,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega
0,300,1835.73,-129.88,0.3929,2.7,-0.226594,-0.226594,0,4.609663072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4875,0,31,82,51,66.3625,15.2465625,52,74,90,16,85.4125,4.5875,90,69.723,207.2,137.477,165.6815375,40.48050094,127.6,302.91,722.66,419.75,657.91375,64.74625,722.66,13,16,3,14.9875,1.0125,16,4,6,2,5.475,0.511875,5,122,146,24,141.7,4.1925,138,1.81,2.33,0.52,2.2085,0.1184625,2.1,2,0,2,0,2,1,4,3,2.9875,1.0125,4,10,10,0,10,0,10,14,14,6.825,6.995625,0,13,28,15,21.8125,6.0328125,16,0,0,0,0,0,2,5,3,3.0125,1.0125,2,0,0,0,0,0,0,0,0,0,0,2,5,3,3.0125,1.0125,2,18.8575,34.76333333,15.90583333,31.32101042,3.442322917,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,64,225,161,186.4875,37.5496875,152,3,0.698435752,0.622187361,0.567351468,0.545405937,0.529568763,0,2,2.9875,10,6.825,0.091690544,0.136962751,0.458452722,0.312893983,4111176.33
1,350,1396.38,-149.5,0.47641,2.33,-0.226594,-0.226594,0,4.609663072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4875,0,31,82,51,66.3625,15.2465625,52,74,90,16,85.4125,4.5875,90,69.723,207.2,137.477,165.6815375,40.48050094,127.6,302.91,722.66,419.75,657.91375,64.74625,722.66,13,16,3,14.9875,1.0125,16,4,6,2,5.475,0.511875,5,122,146,24,141.7,4.1925,138,1.81,2.33,0.52,2.2085,0.1184625,2.1,2,0,2,0,2,1,4,3,2.9875,1.0125,4,10,10,0,10,0,10,14,14,6.825,6.995625,0,13,28,15,21.8125,6.0328125,16,0,0,0,0,0,2,5,3,3.0125,1.0125,2,0,0,0,0,0,0,0,0,0,0,2,5,3,3.0125,1.0125,2,18.8575,34.76333333,15.90583333,31.32101042,3.442322917,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,64,225,161,186.4875,37.5496875,152,3,0.698435752,0.622187361,0.567351468,0.545405937,0.529568763,0,2,2.9875,10,6.825,0.091690544,0.136962751,0.458452722,0.312893983,4111176.33
2,400,1044.91,-170.36,0.62685,2.02,-0.226594,-0.226594,0,4.609663072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4875,0,31,82,51,66.3625,15.2465625,52,74,90,16,85.4125,4.5875,90,69.723,207.2,137.477,165.6815375,40.48050094,127.6,302.91,722.66,419.75,657.91375,64.74625,722.66,13,16,3,14.9875,1.0125,16,4,6,2,5.475,0.511875,5,122,146,24,141.7,4.1925,138,1.81,2.33,0.52,2.2085,0.1184625,2.1,2,0,2,0,2,1,4,3,2.9875,1.0125,4,10,10,0,10,0,10,14,14,6.825,6.995625,0,13,28,15,21.8125,6.0328125,16,0,0,0,0,0,2,5,3,3.0125,1.0125,2,0,0,0,0,0,0,0,0,0,0,2,5,3,3.0125,1.0125,2,18.8575,34.76333333,15.90583333,31.32101042,3.442322917,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,64,225,161,186.4875,37.5496875,152,3,0.698435752,0.622187361,0.567351468,0.545405937,0.529568763,0,2,2.9875,10,6.825,0.091690544,0.136962751,0.458452722,0.312893983,4111176.33
3,450,806.93,-189.41,0.7659,1.8,-0.226594,-0.226594,0,4.609663072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4875,0,31,82,51,66.3625,15.2465625,52,74,90,16,85.4125,4.5875,90,69.723,207.2,137.477,165.6815375,40.48050094,127.6,302.91,722.66,419.75,657.91375,64.74625,722.66,13,16,3,14.9875,1.0125,16,4,6,2,5.475,0.511875,5,122,146,24,141.7,4.1925,138,1.81,2.33,0.52,2.2085,0.1184625,2.1,2,0,2,0,2,1,4,3,2.9875,1.0125,4,10,10,0,10,0,10,14,14,6.825,6.995625,0,13,28,15,21.8125,6.0328125,16,0,0,0,0,0,2,5,3,3.0125,1.0125,2,0,0,0,0,0,0,0,0,0,0,2,5,3,3.0125,1.0125,2,18.8575,34.76333333,15.90583333,31.32101042,3.442322917,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,64,225,161,186.4875,37.5496875,152,3,0.698435752,0.622187361,0.567351468,0.545405937,0.529568763,0,2,2.9875,10,6.825,0.091690544,0.136962751,0.458452722,0.312893983,4111176.33
4,500,627.53,-202.93,0.89504,1.59,-0.226594,-0.226594,0,4.609663072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4875,0,31,82,51,66.3625,15.2465625,52,74,90,16,85.4125,4.5875,90,69.723,207.2,137.477,165.6815375,40.48050094,127.6,302.91,722.66,419.75,657.91375,64.74625,722.66,13,16,3,14.9875,1.0125,16,4,6,2,5.475,0.511875,5,122,146,24,141.7,4.1925,138,1.81,2.33,0.52,2.2085,0.1184625,2.1,2,0,2,0,2,1,4,3,2.9875,1.0125,4,10,10,0,10,0,10,14,14,6.825,6.995625,0,13,28,15,21.8125,6.0328125,16,0,0,0,0,0,2,5,3,3.0125,1.0125,2,0,0,0,0,0,0,0,0,0,0,2,5,3,3.0125,1.0125,2,18.8575,34.76333333,15.90583333,31.32101042,3.442322917,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,64,225,161,186.4875,37.5496875,152,3,0.698435752,0.622187361,0.567351468,0.545405937,0.529568763,0,2,2.9875,10,6.825,0.091690544,0.136962751,0.458452722,0.312893983,4111176.33
5,800,259.8771523,-253.27,1.1468,1.11,-0.226594,-0.226594,0,4.609663072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4875,0,31,82,51,66.3625,15.2465625,52,74,90,16,85.4125,4.5875,90,69.723,207.2,137.477,165.6815375,40.48050094,127.6,302.91,722.66,419.75,657.91375,64.74625,722.66,13,16,3,14.9875,1.0125,16,4,6,2,5.475,0.511875,5,122,146,24,141.7,4.1925,138,1.81,2.33,0.52,2.2085,0.1184625,2.1,2,0,2,0,2,1,4,3,2.9875,1.0125,4,10,10,0,10,0,10,14,14,6.825,6.995625,0,13,28,15,21.8125,6.0328125,16,0,0,0,0,0,2,5,3,3.0125,1.0125,2,0,0,0,0,0,0,0,0,0,0,2,5,3,3.0125,1.0125,2,18.8575,34.76333333,15.90583333,31.32101042,3.442322917,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,64,225,161,186.4875,37.5496875,152,3,0.698435752,0.622187361,0.567351468,0.545405937,0.529568763,0,2,2.9875,10,6.825,0.091690544,0.136962751,0.458452722,0.312893983,4111176.33
6,850,233.7309226,-254.51,1.0707,1.13,-0.226594,-0.226594,0,4.609663072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4875,0,31,82,51,66.3625,15.2465625,52,74,90,16,85.4125,4.5875,90,69.723,207.2,137.477,165.6815375,40.48050094,127.6,302.91,722.66,419.75,657.91375,64.74625,722.66,13,16,3,14.9875,1.0125,16,4,6,2,5.475,0.511875,5,122,146,24,141.7,4.1925,138,1.81,2.33,0.52,2.2085,0.1184625,2.1,2,0,2,0,2,1,4,3,2.9875,1.0125,4,10,10,0,10,0,10,14,14,6.825,6.995625,0,13,28,15,21.8125,6.0328125,16,0,0,0,0,0,2,5,3,3.0125,1.0125,2,0,0,0,0,0,0,0,0,0,0,2,5,3,3.0125,1.0125,2,18.8575,34.76333333,15.90583333,31.32101042,3.442322917,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,64,225,161,186.4875,37.5496875,152,3,0.698435752,0.622187361,0.567351468,0.545405937,0.529568763,0,2,2.9875,10,6.825,0.091690544,0.136962751,0.458452722,0.312893983,4111176.33
8,350,1802.78,-136.5,0.48009,2.46,-0.226594,-0.226594,0,4.61077687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001246883,0.012468828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486284289,0,30,82,52,66.29925187,15.27005429,52,69,90,21,85.39775561,4.602244389,90,65.38,207.2,141.82,165.50899,40.54736631,127.6,302.91,722.66,419.75,658.0378304,64.70855903,722.66,12,16,4,14.98503741,1.014962594,16,4,6,2,5.472568579,0.512963228,5,122,146,24,141.6708229,4.210421577,138,1.65,2.33,0.68,2.207668329,0.118975939,2.1,2,0,2,0,2,0,4,4,2.985037406,1.014962594,4,10,10,0,10,0,10,14,14,6.80798005,6.99473262,0,12,28,16,21.79301746,6.03671619,16,0,0,0,0,0,0,5,5,3.007481297,1.01498125,2,0,0,0,0,0,0,0,0,0,0,0,5,5,3.007481297,1.01498125,2,13.96,34.76333333,20.80333333,31.30365544,3.459677889,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,64,225,161,186.4538653,37.50757769,152,4,0.6975883,0.621441977,0.566690522,0.544788509,0.528995244,0,2,2.985037406,10,6.80798005,0.091772514,0.136972194,0.45886257,0.312392722,4158855.716
9,400,1363.43,-157.79,0.65444,2.13,-0.226594,-0.226594,0,4.61077687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001246883,0.012468828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486284289,0,30,82,52,66.29925187,15.27005429,52,69,90,21,85.39775561,4.602244389,90,65.38,207.2,141.82,165.50899,40.54736631,127.6,302.91,722.66,419.75,658.0378304,64.70855903,722.66,12,16,4,14.98503741,1.014962594,16,4,6,2,5.472568579,0.512963228,5,122,146,24,141.6708229,4.210421577,138,1.65,2.33,0.68,2.207668329,0.118975939,2.1,2,0,2,0,2,0,4,4,2.985037406,1.014962594,4,10,10,0,10,0,10,14,14,6.80798005,6.99473262,0,12,28,16,21.79301746,6.03671619,16,0,0,0,0,0,0,5,5,3.007481297,1.01498125,2,0,0,0,0,0,0,0,0,0,0,0,5,5,3.007481297,1.01498125,2,13.96,34.76333333,20.80333333,31.30365544,3.459677889,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,64,225,161,186.4538653,37.50757769,152,4,0.6975883,0.621441977,0.566690522,0.544788509,0.528995244,0,2,2.985037406,10,6.80798005,0.091772514,0.136972194,0.45886257,0.312392722,4158855.716
10,450,1044.91,-175.99,0.82725,1.84,-0.226594,-0.226594,0,4.61077687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001246883,0.012468828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486284289,0,30,82,52,66.29925187,15.27005429,52,69,90,21,85.39775561,4.602244389,90,65.38,207.2,141.82,165.50899,40.54736631,127.6,302.91,722.66,419.75,658.0378304,64.70855903,722.66,12,16,4,14.98503741,1.014962594,16,4,6,2,5.472568579,0.512963228,5,122,146,24,141.6708229,4.210421577,138,1.65,2.33,0.68,2.207668329,0.118975939,2.1,2,0,2,0,2,0,4,4,2.985037406,1.014962594,4,10,10,0,10,0,10,14,14,6.80798005,6.99473262,0,12,28,16,21.79301746,6.03671619,16,0,0,0,0,0,0,5,5,3.007481297,1.01498125,2,0,0,0,0,0,0,0,0,0,0,0,5,5,3.007481297,1.01498125,2,13.96,34.76333333,20.80333333,31.30365544,3.459677889,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,64,225,161,186.4538653,37.50757769,152,4,0.6975883,0.621441977,0.566690522,0.544788509,0.528995244,0,2,2.985037406,10,6.80798005,0.091772514,0.136972194,0.45886257,0.312392722,4158855.716
